categoryName,type,text,optionA,optionB,optionC,optionD,correctAnswer
Creative & Critical thinking,MCQ,"A box contains 5 identical balls. One ball is heavier than the rest. Using a balance scale only twice, how can you find the heaviest ball?",Compare any two balls twice,Compare three balls vs two balls,Compare one by one,Impossible with two weighings,Compare three balls vs two balls
Creative & Critical thinking,MCQ,"In a pet shop, the numbers of cats and dogs are initially in the ratio 7:5. One week later, 7 cats and 10 dogs are added. After this, the ratio of cats to dogs becomes 4:3. How many cats were there in the shop initially?",95,100,133,140,140
Creative & Critical thinking,MCQ,"A hospital has 10 ventilators and 15 patients needing them. 5 patients are critical, 7 are moderate, and 3 are stable. Hospital policy is to maximize survival rate. Which strategy is most logical?",Give to critical only,Give to critical + moderate proportionally,"First-come, first-served",Random allocation,Give to critical + moderate proportionally
Creative & Critical thinking,MCQ,"A product manager receives conflicting recommendations: one team suggests launching a new feature immediately, another team warns about potential bugs. The manager has limited time and incomplete data. Which approach demonstrates critical thinking and optimal risk management?",Follow most vocal team,"Analyze data, weigh risks, and decide",Postpone indefinitely,Choose randomly,"Analyze data, weigh risks, and decide"
Creative & Critical thinking,MCQ,A company uses AI for recruitment. The algorithm sometimes favors candidates from a particular background due to historical data. Which statement reflects the highest-order critical thinking about AI risk?,Speed is main concern,Bias must be addressed,Accuracy is irrelevant,Cost is the challenge,Bias must be addressed
Creative & Critical thinking,MCQ,"An entrepreneur launches a startup that fails within a year due to low market demand. Reflecting critically, what is the most constructive way to interpret this failure?",End of all efforts,Loss with no value,Learning experience for future,Punishment for team,Learning experience for future
Creative & Critical thinking,MCQ,"You have two solutions: one seems faster but risky, the other slower but safer. What is the most logical choice?",Choose faster solution,Choose safer solution,Flip a coin,Ask everyone’s opinion,Choose safer solution
Creative & Critical thinking,MCQ,"A student can take a shortcut to finish an assignment quickly, but it might have some errors. Taking the longer route ensures accuracy but takes more time. Which choice demonstrates better critical thinking?",Take shortcut,Take longer route for accuracy,Copy from a friend,Ignore assignment,Take longer route for accuracy
Creative & Critical thinking,MCQ,"I speak without a mouth and hear without ears. I have nobody, but I come alive with wind. What am I?",Echo,Shadow,Thought,Signal,Echo
Creative & Critical thinking,MCQ,You have one sheet of paper and a pen. You need to teach 10 children a geometry concept without a board. Which method is most creative?,Draw on floor with chalk,Fold paper to create shapes,Explain verbally only,Memorize formulas,Fold paper to create shapes
Creative & Critical thinking,MCQ,Which object best represents innovation?,Wheel,Stone,Stick,Paper,Wheel
Creative & Critical thinking,MCQ,"What has a head, a tail, but no body?",Snake,Coin,Comet,River,Coin
Creative & Critical thinking,MCQ,A city park is becoming less popular because visitors feel it is boring and unattractive. The city council has a limited budget but wants to attract more people to the park. Which idea shows the most creative solution?,Increase the entry fee to maintain the park,Add simple interactive activities like art walls and community events,Close the park earlier to reduce maintenance costs,Remove benches to prevent crowding,Add simple interactive activities like art walls and community events
Creative & Critical thinking,MCQ,A school wants students to develop creativity and teamwork during a science project. Which approach would best encourage creative thinking?,Give students exact instructions to follow step by step,Allow students to design their own experiments and present their ideas,Ask students to copy experiments from textbooks,Focus only on memorizing scientific formulas,Allow students to design their own experiments and present their ideas
Creative & Critical thinking,MCQ,A small company wants to improve employee motivation without increasing salaries due to budget limits. Which strategy demonstrates the most creative thinking?,Increase working hours,"Provide recognition programs, flexible schedules, and opportunities for skill development",Ignore employee feedback,Reduce break times to increase productivity,"Provide recognition programs, flexible schedules, and opportunities for skill development"
English,MCQ,"A list of numbers is described as advancing progressively in such a way that each successive element exceeds the immediately preceding element by a constant and unvarying quantity. The actual numerical values themselves remain undisclosed, and no information is provided concerning either the origin or the termination of the list. The only characteristic that has been explicitly specified is that the incremental difference between consecutive elements remains perfectly consistent throughout the entirety of the sequence. Based solely on this description, can the sequence be accurately classified as an arithmetic sequence?",Yes,No,Only at the beginning,Cannot be decided,Yes
English,MCQ,"A certain operational procedure is described as unfolding through a structured progression consisting of four clearly distinguishable stages. It is explicitly indicated that the commencement of the third stage cannot occur until the second stage has been entirely completed. Additionally, the fourth stage is defined as an event that occurs exclusively at the ultimate conclusion of the entire procedure. The first stage, interestingly, is characterized not by a specific activity of its own but rather by the absence of the conditions associated with the fourth stage. Taking all of these constraints into consideration, which stage must logically constitute the starting point of the process?",First Stage,Second Stage,Third Stage,Fourth Stage,First Stage
English,MCQ,"An individual explains that the commencement of his professional duties took place at a time precisely fifteen minutes after the completion of the sixth consecutive hour measured from the exact moment at which the sun rose above the horizon. For the sake of analytical clarity, assume that sunrise occurs uniformly at exactly 06:00 in the morning, regardless of geographical or seasonal variations. When the temporal description provided by the individual is translated into standard clock notation, which specific time accurately corresponds to the beginning of his work?",12.00 PM,12.15 PM,11.45 AM,6.15 AM,12.15 PM
English,MCQ,"A person asserts that he possesses a rectangular container whose interior currently contains a certain quantity of liquid. He further specifies that the liquid occupies precisely one quarter of the container’s total internal capacity. However, the container itself bears no markings, measurements, or indicators that might reveal the level of liquid within it. If an observer is nevertheless required to describe the proportion of the container that is presently filled in the most exact fractional terms possible, which of the following fractions most accurately represents the quantity of liquid contained inside?",04-Jan,03-Jan,04-Mar,02-Jan,04-Jan
English,MCQ,"Three containers, identified respectively as A, B, and C, are initially described as holding identical volumes of liquid under normal conditions. It is later reported that the entire contents of container A have been transferred into container B. Subsequently, a certain portion of the liquid contained in container B is transferred into container C, resulting in container C holding an amount of liquid equal to exactly half of its total capacity. Assuming that no liquid is lost during these transfers and that the operations are performed with perfect accuracy, which container ultimately contains the greatest volume of liquid?",Container A holds the greatest volume,Container B holds the greatest volume,Container C holds the greatest volume,All containers hold equal volumes,Container B holds the greatest volume
English,MCQ,"Consider a situation in which every element belonging to a particular set is defined as possessing a specific property. It is further stated that a certain object unquestionably belongs to this set. Without introducing any additional assumptions or external information, what logical conclusion can be drawn regarding the relationship between the object and the property that characterizes the entire set?",The object must possess the property,The object cannot possess the property,The object may or may not possess the property,No conclusion can be made,The object must possess the property
